English,Apply,Russian
English,Application,French
English,Advantages,Italian
English,Bonus,Arabic
English,Boss,Russian
English,Career,Russian
English,Employee,French
English,Employer,Italian
English,Fire,Russian
English,Full-time,Russian
English,Interview,Russian
English,Work,Russian
English,Layoff,French
English,Manager,French
English,Salaries,French
English,Part-time,French
English,Promotion,French
English,Reference,Italian
English,Salary,Italian
English,Training,Italian
English,Holidays,Italian
English,Commuting,Italian
English,Flexible,Italian
English,Appreciate,Italian
English,Bankrupt,Italian
English,Bankruptcy,Italian
English,Budget,Italian
English,Cash,Italian
English,Contest,Italian
English,Economy,German
English,Finance,German
English,Attorney,German
English,Inflation,German
English,Interest,German
English,International,German
English,Investments,German
English,Hostels,German
English,Aquifer,German
English,Environment,German
English,Biodegradable,Hindi
English,Biodiversity,Hindi
English,Disappointment,Hindi
English,Distress,Hindi
English,Embarrassment,Hindi
